discard(basicrobot,doStep,msg(local_sonar,event,robotsonar,none,sonar(8,sonar1),91)).
item(basicrobot,doStep,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,90)).
item(basicrobot,stepPerhapsDone,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,94)).
item(basicrobot,work,msg(step,request,waiterwalker,basicrobot,step(355),205)).
item(basicrobot,doStep,msg(local_sonar,event,robotsonar,none,sonar(8,sonar1),98)).
discard(basicrobot,doStep,msg(local_sonar,event,robotsonar,none,sonar(8,sonar1),98)).
item(basicrobot,doStep,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,99)).
item(basicrobot,stepPerhapsDone,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,102)).
item(basicrobot,work,msg(cmd,dispatch,waiterwalker,basicrobot,cmd(l),211)).
item(basicrobot,work,msg(step,request,waiterwalker,basicrobot,step(355),212)).
item(basicrobot,doStep,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,106)).
item(basicrobot,stepPerhapsDone,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,109)).
item(basicrobot,work,msg(step,request,waiterwalker,basicrobot,step(355),216)).
item(basicrobot,doStep,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,113)).
item(basicrobot,stepPerhapsDone,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,116)).
item(basicrobot,work,msg(step,request,waiterwalker,basicrobot,step(355),220)).
item(basicrobot,doStep,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,120)).
item(basicrobot,stepPerhapsDone,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,123)).
item(basicrobot,work,msg(cmd,dispatch,waiterwalker,basicrobot,cmd(l),224)).
item(basicrobot,work,msg(step,request,waiterwalker,basicrobot,step(355),228)).
item(basicrobot,doStep,msg(local_sonar,event,robotsonar,none,sonar(21,sonar1),127)).
discard(basicrobot,doStep,msg(local_sonar,event,robotsonar,none,sonar(21,sonar1),127)).
item(basicrobot,doStep,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,128)).
item(basicrobot,stepPerhapsDone,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,131)).
item(basicrobot,work,msg(local_sonar,event,robotsonar,none,sonar(21,sonar1),133)).
discard(basicrobot,work,msg(local_sonar,event,robotsonar,none,sonar(21,sonar1),133)).
item(basicrobot,work,msg(step,request,waiterwalker,basicrobot,step(355),232)).
item(basicrobot,doStep,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,136)).
item(basicrobot,stepPerhapsDone,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,139)).
item(basicrobot,work,msg(cmd,dispatch,waiterwalker,basicrobot,cmd(l),274)).
item(basicrobot,work,msg(step,request,waiterwalker,basicrobot,step(355),275)).
item(basicrobot,doStep,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,143)).
item(basicrobot,stepPerhapsDone,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,146)).
item(basicrobot,work,msg(step,request,waiterwalker,basicrobot,step(355),279)).
item(basicrobot,doStep,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,150)).
item(basicrobot,stepPerhapsDone,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,153)).
item(basicrobot,work,msg(step,request,waiterwalker,basicrobot,step(355),283)).
item(basicrobot,doStep,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,157)).
item(basicrobot,stepPerhapsDone,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,160)).
item(basicrobot,work,msg(cmd,dispatch,waiterwalker,basicrobot,cmd(r),287)).
item(basicrobot,work,msg(step,request,waiterwalker,basicrobot,step(355),288)).
item(basicrobot,doStep,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,164)).
item(basicrobot,stepPerhapsDone,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,167)).
item(basicrobot,work,msg(step,request,waiterwalker,basicrobot,step(355),295)).
item(basicrobot,doStep,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,171)).
